Month,Year,DF_market,DF_corrected,DF_uncorrected,err_corr_bp,err_uncorr_bp
164,13.6667,0.59767192,0.59767192,0.61291650,+0.000000,+152.445805
165,13.7500,0.59576176,0.59576176,0.61122482,-0.000000,+154.630619
166,13.8333,0.59385725,0.59385725,0.60954223,+0.000000,+156.849794
167,13.9167,0.59195838,0.59195838,0.60786839,+0.000000,+159.100148
168,14.0000,0.59006513,0.59006513,0.60620085,+0.000000,+161.357218
169,14.0833,0.58817749,0.58817749,0.60454053,+0.000000,+163.630367
170,14.1667,0.58629545,0.58629545,0.60288970,-0.000000,+165.942506
171,14.2500,0.58441898,0.58441898,0.60124801,+0.000000,+168.290298
172,14.3333,0.58254808,0.58254808,0.59961338,+0.000000,+170.653050
173,14.4167,0.58068272,0.58068272,0.59798545,-0.000000,+173.027231
174,14.5000,0.57882290,0.57882290,0.59636694,+0.000000,+175.440433
175,14.5833,0.57696860,0.57696860,0.59475883,-0.000000,+177.902340
176,14.6667,0.57511980,0.57511980,0.59316042,-0.000000,+180.406207
177,14.7500,0.57327649,0.57327649,0.59156933,-0.000000,+182.928366
178,14.8333,0.57143865,0.57143865,0.58998281,+0.000000,+185.441579
179,14.9167,0.56960628,0.56960628,0.58840192,+0.000000,+187.956456
180,15.0000,0.56777935,0.56777935,0.58682927,+0.000000,+190.499216
181,15.0833,0.56595785,0.56595785,0.58526591,+0.000000,+193.080604
182,15.1667,0.56414176,0.56414176,0.58371000,+0.000000,+195.682419
183,15.2500,0.56233107,0.56233107,0.58216120,-0.000000,+198.301252
184,15.3333,0.56052577,0.56052577,0.58062148,-0.000000,+200.957025
185,15.4167,0.55872585,0.55872585,0.57909145,+0.000000,+203.656008
186,15.5000,0.55693128,0.55693128,0.57757019,-0.000000,+206.389107
187,15.5833,0.55514205,0.55514205,0.57605568,-0.000000,+209.136364
188,15.6667,0.55335815,0.55335815,0.57454806,+0.000000,+211.899122
189,15.7500,0.55157956,0.55157956,0.57304854,-0.000000,+214.689769
190,15.8333,0.54980627,0.54980627,0.57155711,+0.000000,+217.508391
191,15.9167,0.54803827,0.54803827,0.57007293,+0.000000,+220.346568
192,16.0000,0.54627554,0.54627554,0.56859648,-0.000000,+223.209429
193,16.0833,0.54451806,0.54451806,0.56712913,+0.000000,+226.110648
194,16.1667,0.54276583,0.54276583,0.56567018,-0.000000,+229.043495
195,16.2500,0.54101883,0.54101883,0.56421656,+0.000000,+231.977390
196,16.3333,0.53927703,0.53927703,0.56276894,+0.000000,+234.919045
197,16.4167,0.53754044,0.53754044,0.56132884,+0.000000,+237.883991
198,16.5000,0.53580904,0.53580904,0.55989618,-0.000000,+240.871496
199,16.5833,0.53408280,0.53408280,0.55847094,+0.000000,+243.881446
200,16.6667,0.53236172,0.53236172,0.55705390,+0.000000,+246.921743
201,16.7500,0.53064579,0.53064579,0.55564722,+0.000000,+250.014355
202,16.8333,0.52893498,0.52893498,0.55424984,-0.000000,+253.148547
203,16.9167,0.52722929,0.52722929,0.55286098,+0.000000,+256.316872
204,17.0000,0.52552870,0.52552870,0.55148050,+0.000000,+259.517987
205,17.0833,0.52383320,0.52383320,0.55010793,-0.000000,+262.747221
206,17.1667,0.52214278,0.52214278,0.54874250,+0.000000,+265.997197
207,17.2500,0.52045741,0.52045741,0.54738442,+0.000000,+269.270099
208,17.3333,0.51877709,0.51877709,0.54603380,+0.000000,+272.567139
209,17.4167,0.51710180,0.51710180,0.54469020,+0.000000,+275.884038
210,17.5000,0.51543153,0.51543153,0.54335222,-0.000000,+279.206918
211,17.5833,0.51376627,0.51376627,0.54201875,+0.000000,+282.524889
212,17.6667,0.51210599,0.51210599,0.54069379,+0.000000,+285.877974
213,17.7500,0.51045070,0.51045070,0.53937750,+0.000000,+289.268069
214,17.8333,0.50880037,0.50880037,0.53806777,+0.000000,+292.674086
215,17.9167,0.50715499,0.50715499,0.53676573,+0.000000,+296.107455
216,18.0000,0.50551454,0.50551454,0.53547214,-0.000000,+299.575943
217,18.0833,0.50387902,0.50387902,0.53418698,+0.000000,+303.079560
218,18.1667,0.50224841,0.50224841,0.53291089,+0.000000,+306.624823
219,18.2500,0.50062270,0.50062270,0.53164213,+0.000000,+310.194322
220,18.3333,0.49900187,0.49900187,0.53037944,-0.000000,+313.775677
221,18.4167,0.49738591,0.49738591,0.52912385,+0.000000,+317.379385
222,18.5000,0.49577481,0.49577481,0.52787541,+0.000000,+321.006016
223,18.5833,0.49416855,0.49416855,0.52663554,-0.000000,+324.669893
224,18.6667,0.49256712,0.49256712,0.52540290,+0.000000,+328.357813
225,18.7500,0.49097051,0.49097051,0.52417433,-0.000000,+332.038190
226,18.8333,0.48937870,0.48937870,0.52295019,+0.000000,+335.714856
227,18.9167,0.48779168,0.48779168,0.52173238,+0.000000,+339.406958
228,19.0000,0.48620944,0.48620944,0.52052218,+0.000000,+343.127408
